Author's Name,Title,Publisher / Place,Year,Pages,Vol.,Cost
"Acharya,S. Chellappan,S.",Big Data and Analytics,Wiley-India,"2,015",334,,499
"Acharya,S. Chellappan,S.",Big Data and Analytics,Wiley-India,"2,017",334,,559
"Agarwal, R.K. ",Engineering Chemistry,"Krishna Prakashan, Meerut","2,013",496,,270
"Agarwal, R.K. ",Engineering Chemistry,"Krishna Prakashan, Meerut","2,013",496,,270
"Agarwal, R.K. ",Engineering Chemistry,"Krishna Prakashan, Meerut","2,013",434,,250
"Aggarwal,K.K. Singh, Yogesh",Software Engineering,"New Age International, New Delhi","2,013",507,,299
"Aggarwal,K.K. Singh, Yogesh",Software Engineering,"New Age International, New Delhi","2,014",507,,299
"Aggarwal,K.K. Singh, Yogesh",Software Engineering,"New Age International, New Delhi","2,016",507,,399
"Aggarwal,K.K. Singh, Yogesh",Software Engineering,"New Age International, New Delhi","2,018",507,,399
"Aho, A.V. Lam,M.S.",Compilers,"Pearson Education, New Delhi","2,013",1009,,799
"Aho, A.V. Lam,M.S.",Compilers,"Pearson Education, New Delhi","2,014",948,,899
"Aho, A.V. Lam,M.S.",Compilers,"Pearson Education, New Delhi","2,017",948,,899
"Aho, A.V. Lam,M.S.",Compilers,"Pearson Education, New Delhi","2,017",948,,899
"Aho, A.V. Lam,M.S.",Compilers,"Pearson Education, New Delhi","2,018",948,,899
"Altekar,R.V. ",Enterprisewide resource planning,"PHI, New Delhi","2,013",154,,175
"Arora,K.R. ",Soil Mechanics and Foundation Engineering,"Standard Publishers, Delhi","2,015",953,,450
"Balagurusamy, E. ",Computer Concepts and Programming in C,"Tata McGraw Hill, New Delhi","2,008",508,,250
"Balagurusamy, E. ",Computer Concepts and Programming in C,"Tata McGraw Hill, New Delhi","2,009",V.P.,,250
"Balagurusamy, E. ",Computer Concepts and Programming in C,"Tata McGraw Hill, New Delhi","2,012",V.P.,,295
"Balagurusamy, E. ",Computer Concepts and Programming in C,"Tata McGraw Hill, New Delhi","2,013",v.p.,,310
"Balagurusamy, E. ",Object Oriented Programming with C++,"Mc Graw Hill, India","2,013",543,,350
"Bali, N.P. Goyal, Manish",A Textbook Of Engineering Mathematics-II,University Science Press,"2,013",613,,425
"Bali, N.P. Goyal, Manish",Engineering Mathematics-I,"Laxmi Publication, New Delhi","2,013",535,,375
"Bali, N.P. Goyal, Manish",Engineering Mathematics-I,"Laxmi Publication, New Delhi","2,014",573,1,395
"Bali, N.P. Goyal, Manish",Engineering Mathematics-I,"Laxmi Publication, New Delhi","2,014",636,,450
"Bangar,K.M. ",Principles Of Engineering Geology,"Standard Publishers, Delhi","2,013",451,,150
"Bansal, R.K. ",A text book of fluid mechanics and hydraulic machines,"Laxmi Publication, New Delhi","2,014",1102,,625
"Bansal, R.K. ",A text book of fluid mechanics and hydraulic machines,"Laxmi Publication, New Delhi","2,013",1102,,595
"Bansal, R.K. ",A text book of fluid mechanics and hydraulic machines,"Laxmi Publication, New Delhi","2,013",1102,,595
"Bell, David A. ",Electronic Instrumentation and Measurements,"PHI, New Delhi","2,011",451,,250
"Bhavikatti, S.S. ",Engineering Mechanics,"New Age International, New Delhi","2,014",452,,299
"Bhavikatti, S.S. ",Engineering Mechanics,"New Age International, New Delhi","2,014",493,,299
